WPN_FlameThrower_C|CRSPR 火焰喷射器
WPN_Cryospray_C|急冻喷射炮
WPN_GooCannon_C|蚀泥喷射泵
WPN_Pistol_A_C|苏巴特 120 半自动手枪
WPN_ChargeBlaster_C|实验性等离子蓄能手枪
WPN_MicrowaveGun_C|柯莱特 微波烹调者
WPN_DoubleDrills_C|强化动力钻机
BP_DetPack_Charge|C4
WPN_CombatShotgun_C|“疣猪” 210 自动霰弹枪
WPN_SMG_OneHand_C|“百万”伏特微型冲锋枪
WPN_LockOnRifle_C|LOK-1 智能步枪
WPN_GrenadeLauncher_C|深核 40 毫米便携式榴弹发射器
WPN_LineCutter_C|等离子切割器
WPN_HeavyParticleCannon_C|心石聚能炮
WPN_Gatling_C|“铅暴”转管机枪
WPN_Autocannon_C|“雷暴云砧”重型双管机炮
WPN_MicroMissileLauncher_C|“飓风”制导火箭系统
WPN_Revolver_C|“斗牛犬” 重型左轮手枪
WPN_BurstPistol_C|BRT7 连发手枪
WPN_CoilGun_C|“武装核心” 电磁手炮
WPN_AssaultRifle_C|深核 GK2 突击步枪
WPN_M1000_C|M1000 经典型步枪
WPN_PlasmaCarbine_C|DRAK-25 电浆卡宾枪
WPN_SawedOffShotgun_C|应急霰弹枪
WPN_DualMPs_C|朱可夫 NUK17 双持冲锋枪
WPN_Crossbow_C|尼桑卡 X-80 “闪电鲨” 战术弩
WPN_FlareGun_C|照明枪
PRJ_GrendeAxe|冲击战斧
BP_SentryGun_Redeployable|轻机枪哨戒炮
PRJ_Grenade_StickySmall|粘性手雷
